description,category,amount,timestamp
Salary Credited,Income,45000.0,2026-03-23T17:45:23.624447
ATM Cash Withdrawal,ATM,2000.0,2026-03-23T17:45:23.624447
Zomato Order,Food,350.0,2026-03-23T17:45:23.624447
Swiggy Delivery,Food,420.0,2026-03-23T17:45:23.624447
Uber Trip,Transport,180.0,2026-03-23T17:45:23.624447
Amazon Shopping,Shopping,2200.0,2026-03-23T17:45:23.624447
Electricity Bill,Bills,1600.0,2026-03-23T17:45:23.624447
Mobile Recharge,Bills,299.0,2026-03-23T17:45:23.624447
UPI Transfer to Rahul,Transfer,1500.0,2026-03-23T17:45:23.624447
Freelance Payment Received,Income,6000.0,2026-03-23T17:45:23.624447
Netflix Subscription,Entertainment,499.0,2026-03-23T17:45:23.624447
ATM Cash Withdrawal,ATM,3000.0,2026-03-23T17:45:23.624447
Dominos Pizza,Food,550.0,2026-03-23T17:45:23.624447
Metro Card Recharge,Transport,500.0,2026-03-23T17:45:23.624447
Flipkart Order,Shopping,1750.0,2026-03-23T17:45:23.624447
Water Bill Payment,Bills,700.0,2026-03-23T17:45:23.624447
Bonus Credited,Income,5000.0,2026-03-23T17:45:23.624447
OLA Ride,Transport,240.0,2026-03-23T17:45:23.624447
Restaurant Dinner,Food,900.0,2026-03-23T17:45:23.624447
Spotify Subscription,Entertainment,119.0,2026-03-23T17:45:23.624447
ATM Cash Withdrawal,ATM,1500.0,2026-03-23T17:45:23.624447
DMart Grocery,Food,2100.0,2026-03-23T17:45:23.624447
Broadband Bill,Bills,999.0,2026-03-23T17:45:23.624447
UPI Transfer to Amit,Transfer,1000.0,2026-03-23T17:45:23.624447
Stock Dividend Received,Income,2000.0,2026-03-23T17:45:23.624447
KFC Order,Food,420.0,2026-03-23T17:45:23.624447
Petrol Pump Payment,Transport,1600.0,2026-03-23T17:45:23.624447
Myntra Purchase,Shopping,2800.0,2026-03-23T17:45:23.624447
Gaming Purchase Steam,Investment,899.0,2026-03-23T17:45:23.624447
Gas Bill Payment,Bills,1100.0,2026-03-23T17:45:23.624447
ATM Cash Withdrawal,ATM,2000.0,2026-03-23T17:45:23.624447
Freelance Project Payment,Income,8000.0,2026-03-23T17:45:23.624447
BookMyShow Movie Ticket,Entertainment,650.0,2026-03-23T17:45:23.624447
Salary Credited,Income,45000.0,2026-03-24T13:00:10.307639
ATM Cash Withdrawal,ATM,2000.0,2026-03-24T13:00:10.307639
Zomato Order,Food,350.0,2026-03-24T13:00:10.307639
Swiggy Delivery,Food,420.0,2026-03-24T13:00:10.307639
Uber Trip,Transport,180.0,2026-03-24T13:00:10.307639
Amazon Shopping,Shopping,2200.0,2026-03-24T13:00:10.307639
Electricity Bill,Bills,1600.0,2026-03-24T13:00:10.307639
Mobile Recharge,Bills,299.0,2026-03-24T13:00:10.307639
UPI Transfer to Rahul,Transfer,1500.0,2026-03-24T13:00:10.307639
Freelance Payment Received,Income,6000.0,2026-03-24T13:00:10.307639
Netflix Subscription,Entertainment,499.0,2026-03-24T13:00:10.307639
ATM Cash Withdrawal,ATM,3000.0,2026-03-24T13:00:10.307639
Dominos Pizza,Food,550.0,2026-03-24T13:00:10.307639
Metro Card Recharge,Transport,500.0,2026-03-24T13:00:10.307639
Flipkart Order,Shopping,1750.0,2026-03-24T13:00:10.307639
Water Bill Payment,Bills,700.0,2026-03-24T13:00:10.307639
Bonus Credited,Income,5000.0,2026-03-24T13:00:10.307639
OLA Ride,Transport,240.0,2026-03-24T13:00:10.307639
Restaurant Dinner,Food,900.0,2026-03-24T13:00:10.307639
Spotify Subscription,Entertainment,119.0,2026-03-24T13:00:10.307639
ATM Cash Withdrawal,ATM,1500.0,2026-03-24T13:00:10.307639
DMart Grocery,Food,2100.0,2026-03-24T13:00:10.307639
Broadband Bill,Bills,999.0,2026-03-24T13:00:10.307639
UPI Transfer to Amit,Transfer,1000.0,2026-03-24T13:00:10.307639
Stock Dividend Received,Income,2000.0,2026-03-24T13:00:10.307639
KFC Order,Food,420.0,2026-03-24T13:00:10.307639
Petrol Pump Payment,Transport,1600.0,2026-03-24T13:00:10.307639
Myntra Purchase,Shopping,2800.0,2026-03-24T13:00:10.307639
Gaming Purchase Steam,Investment,899.0,2026-03-24T13:00:10.307639
Gas Bill Payment,Bills,1100.0,2026-03-24T13:00:10.307639
ATM Cash Withdrawal,ATM,2000.0,2026-03-24T13:00:10.307639
Freelance Project Payment,Income,8000.0,2026-03-24T13:00:10.307639
BookMyShow Movie Ticket,Entertainment,650.0,2026-03-24T13:00:10.307639
Electricity Bill,Bills,3599.88,2026-04-04T17:12:24.636349
Freelance Income,Income,17731.51,2026-04-04T17:12:24.636349
Mobile Recharge,Bills,19163.77,2026-04-04T17:12:24.636349
Interest Credit,Income,1346.16,2026-04-04T17:12:24.636349
Mobile Recharge,Bills,18448.75,2026-04-04T17:12:24.636349
Insurance Premium,Others,6190.95,2026-04-04T17:12:24.636349
Interest Credit,Income,17422.12,2026-04-04T17:12:24.636349
Insurance Premium,Others,12836.91,2026-04-04T17:12:24.636349
Insurance Premium,Others,13364.94,2026-04-04T17:12:24.636349
Restaurant,Food,17486.36,2026-04-04T17:12:24.636349
Pharmacy,Medical,9749.01,2026-04-04T17:12:24.636349
Online Shopping,Shopping,4843.37,2026-04-04T17:12:24.636349
Cashback,Cashback,14484.53,2026-04-04T17:12:24.636349
Fuel,Transport,6293.69,2026-04-04T17:12:24.636349
Mobile Recharge,Bills,5466.96,2026-04-04T17:12:24.636349
Coffee Shop,Food,3794.28,2026-04-04T17:12:24.636349
Internet Bill,Bills,1508.19,2026-04-04T17:12:24.636349
Pharmacy,Medical,770.67,2026-04-04T17:12:24.636349
Water Bill,Bills,3581.66,2026-04-04T17:12:24.636349
Mobile Recharge,Bills,18722.58,2026-04-04T17:12:24.636349
Movie Tickets,Entertainment,1977.41,2026-04-04T17:12:24.636349
Coffee Shop,Food,6655.73,2026-04-04T17:12:24.636349
Movie Tickets,Entertainment,6321.31,2026-04-04T17:12:24.636349
Salary Credit,Income,7056.2,2026-04-04T17:12:24.636349
Travel Booking,Transport,15560.14,2026-04-04T17:12:24.636349
Restaurant,Food,11322.01,2026-04-04T17:12:24.636349
Gym Membership,Food,13642.85,2026-04-04T17:12:24.636349
Mobile Recharge,Bills,295.69,2026-04-04T17:12:24.636349
Cashback,Cashback,295.87,2026-04-04T17:12:24.636349
Gym Membership,Food,7039.42,2026-04-04T17:12:24.636349
Online Shopping,Shopping,1455.49,2026-04-04T17:12:24.636349
Travel Booking,Transport,10050.96,2026-04-04T17:12:24.636349
Electricity Bill,Bills,14456.55,2026-04-04T17:12:24.636349
Travel Booking,Transport,19736.64,2026-04-04T17:12:24.636349
Pharmacy,Medical,18832.98,2026-04-04T17:12:24.636349
Fuel,Transport,14082.93,2026-04-04T17:12:24.636349
Pharmacy,Medical,8763.15,2026-04-04T17:12:24.636349
Travel Booking,Transport,10514.41,2026-04-04T17:12:24.636349
Online Shopping,Shopping,11476.13,2026-04-04T17:12:24.636349
Water Bill,Bills,13699.68,2026-04-04T17:12:24.636349
Cashback,Cashback,5699.44,2026-04-04T17:12:24.636349
Water Bill,Bills,18933.4,2026-04-04T17:12:24.636349
Freelance Income,Income,6038.16,2026-04-04T17:12:24.636349
Fuel,Transport,10904.76,2026-04-04T17:12:24.636349
Restaurant,Food,16354.3,2026-04-04T17:12:24.636349
Coffee Shop,Food,16927.84,2026-04-04T17:12:24.636349
Pharmacy,Medical,15402.99,2026-04-04T17:12:24.636349
Gym Membership,Food,1747.38,2026-04-04T17:12:24.636349
Freelance Income,Income,12821.13,2026-04-04T17:12:24.636349
Electricity Bill,Bills,9655.95,2026-04-04T17:12:24.636349
Coffee Shop,Food,8950.69,2026-04-04T17:12:24.636349
Internet Bill,Bills,7083.43,2026-04-04T17:12:24.636349
Travel Booking,Transport,4109.15,2026-04-04T17:12:24.636349
Cashback,Cashback,8387.85,2026-04-04T17:12:24.636349
Salary Credit,Income,13833.7,2026-04-04T17:12:24.636349
Interest Credit,Income,5094.22,2026-04-04T17:12:24.636349
Interest Credit,Income,11620.75,2026-04-04T17:12:24.636349
Water Bill,Bills,9764.36,2026-04-04T17:12:24.636349
Freelance Income,Income,17035.53,2026-04-04T17:12:24.636349
Freelance Income,Income,7403.43,2026-04-04T17:12:24.636349
Movie Tickets,Entertainment,16635.21,2026-04-04T17:12:24.636349
Cashback,Cashback,12285.77,2026-04-04T17:12:24.636349
Fuel,Transport,3152.36,2026-04-04T17:12:24.636349
Water Bill,Bills,9392.84,2026-04-04T17:12:24.636349
Fuel,Transport,7821.58,2026-04-04T17:12:24.636349
Gym Membership,Food,6824.07,2026-04-04T17:12:24.636349
Movie Tickets,Entertainment,2032.05,2026-04-04T17:12:24.636349
Internet Bill,Bills,6134.16,2026-04-04T17:12:24.636349
Freelance Income,Income,19765.27,2026-04-04T17:12:24.636349
Mobile Recharge,Bills,12387.51,2026-04-04T17:12:24.636349
Grocery Store,Food,11060.5,2026-04-04T17:12:24.636349
Interest Credit,Income,6645.62,2026-04-04T17:12:24.636349
Cashback,Cashback,17022.86,2026-04-04T17:12:24.636349
Water Bill,Bills,14546.03,2026-04-04T17:12:24.636349
Movie Tickets,Entertainment,8455.72,2026-04-04T17:12:24.636349
Freelance Income,Income,6225.04,2026-04-04T17:12:24.636349
Travel Booking,Transport,14598.33,2026-04-04T17:12:24.636349
Mobile Recharge,Bills,4985.88,2026-04-04T17:12:24.636349
Interest Credit,Income,14894.72,2026-04-04T17:12:24.636349
Internet Bill,Bills,8953.39,2026-04-04T17:12:24.636349
Freelance Income,Income,12831.92,2026-04-04T17:12:24.636349
Salary Credit,Income,15138.74,2026-04-04T17:12:24.636349
Water Bill,Bills,7032.81,2026-04-04T17:12:24.636349
Insurance Premium,Others,5819.91,2026-04-04T17:12:24.636349
Freelance Income,Income,19804.32,2026-04-04T17:12:24.636349
Interest Credit,Income,1885.73,2026-04-04T17:12:24.636349
Gym Membership,Food,12805.12,2026-04-04T17:12:24.636349
Travel Booking,Transport,1177.53,2026-04-04T17:12:24.636349
Pharmacy,Medical,15248.35,2026-04-04T17:12:24.636349
Insurance Premium,Others,17321.89,2026-04-04T17:12:24.636349
Freelance Income,Income,10387.36,2026-04-04T17:12:24.636349
Gym Membership,Food,19468.53,2026-04-04T17:12:24.636349
Coffee Shop,Food,473.31,2026-04-04T17:12:24.636349
Pharmacy,Medical,3662.35,2026-04-04T17:12:24.636349
Mobile Recharge,Bills,10973.25,2026-04-04T17:12:24.636349
Water Bill,Bills,1199.96,2026-04-04T17:12:24.636349
Freelance Income,Income,19394.17,2026-04-04T17:12:24.636349
Electricity Bill,Bills,1428.61,2026-04-04T17:12:24.636349
Insurance Premium,Others,7987.03,2026-04-04T17:12:24.636349
Interest Credit,Income,14499.79,2026-04-04T17:12:24.636349
Water Bill,Bills,6432.87,2026-04-04T17:12:24.636349
Online Shopping,Shopping,14747.43,2026-04-04T17:12:24.636349
Grocery Store,Food,5232.83,2026-04-04T17:12:24.636349
Cashback,Cashback,243.56,2026-04-04T17:12:24.636349
Pharmacy,Medical,4201.48,2026-04-04T17:12:24.636349
Gym Membership,Food,1140.61,2026-04-04T17:12:24.636349
Cashback,Cashback,11508.67,2026-04-04T17:12:24.636349
Movie Tickets,Entertainment,8298.24,2026-04-04T17:12:24.636349
Movie Tickets,Entertainment,19134.45,2026-04-04T17:12:24.636349
Cashback,Cashback,14076.14,2026-04-04T17:12:24.636349
Grocery Store,Food,2274.32,2026-04-04T17:12:24.636349
Freelance Income,Income,17480.04,2026-04-04T17:12:24.636349
Movie Tickets,Entertainment,11280.46,2026-04-04T17:12:24.636349
Pharmacy,Medical,2495.8,2026-04-04T17:12:24.636349
Freelance Income,Income,15801.71,2026-04-04T17:12:24.636349
